level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
70,5.357404240625,0.002953567636141088,0.000176726621741771,0.0,0.0,4.133782270704193e-21,1.5072363981589676e-20,5.360431231875,0.002838011848041788,0.00016054084540838168,0.0,0.0,4.341444571117521e-21,1.240176145238527e-20,5.3624546596875,0.002878261521458626,0.00021252230408168226,0.0,0.0,3.350661018411703e-21,1.2367662925575707e-20
71,5.0205661309375005,0.0029487210913794115,0.00019504395939909312,0.0,0.0,5.308853571388162e-20,1.9218497156037557e-19,5.0240143934375,0.002816976751550101,0.00018690695880911587,0.0,0.0,5.569587196020474e-20,1.579624919901622e-19,5.02576979046875,0.0028792160718003287,0.00021511840617742227,0.0,0.0,4.294924034366077e-20,1.572100091337793e-19
72,4.69917306890625,0.0029406906481599434,0.0002209947711082329,0.0,0.0,6.655618302534148e-19,2.3879579388593363e-18,4.70299934375,0.0027990550977992825,0.00023568839851665683,0.0,0.0,6.976534099888336e-19,1.9602111102432397e-18,4.7045084946875,0.002877843531430699,0.0002052692925870889,0.0,0.0,5.374314277156563e-19,1.9452163782651293e-18
73,4.39277917046875,0.002922503289708402,0.0002423339812284038,0.0,0.0,8.107700561536495e-18,2.8779295135506175e-17,4.396944838125,0.002781352721678559,0.00029164550370178253,0.0,0.0,8.494023101195572e-18,2.3586164477958688e-17,4.39822959953125,0.0028731828854070044,0.00019929600578404323,0.0,0.0,6.534786487299513e-18,2.3313082333011698e-17
74,4.1009490446875,0.002897551132773515,0.0002690208796574917,0.0,0.0,9.542667572758326e-17,3.345436556094968e-16,4.105415735625,0.0027677276407484896,0.00033839480800096973,0.0,0.0,9.996376797753002e-17,2.7368524247869985e-16,4.106499880625,0.0028654633264523,0.00020875475245030298,0.0,0.0,7.678750652571897e-17,2.690774844181069e-16
75,3.8232541265625,0.0028702058490889613,0.00029840409973757605,0.0,0.0,1.0775951997745679e-15,3.7248697575245215e-15,3.827982299375,0.0027655079938704147,0.00037168261508630987,0.0,0.0,1.1294651578473113e-15,3.042168923247623e-15,3.8288905453125,0.0028588071516132915,0.00024338964800677478,0.0,0.0,8.661927325253141e-16,2.9704611824027602e-15
76,3.5592720140625,0.0028427126770984613,0.0003402421729696503,0.0,0.0,1.1576585305075535e-14,3.938716584028974e-14,3.564223513125,0.002778551973722642,0.00039299223447328936,0.0,0.0,1.2153321869805313e-14,3.2144552263432485e-14,3.564978515625,0.0028556470349431038,0.0002920553019103888,0.0,0.0,9.304699523537415e-15,3.1106638297422314e-14
77,3.30858691640625,0.002818954551272327,0.00038663115925337586,0.0,0.0,1.1712944650795336e-13,3.9153802461672986e-13,3.3137221803125,0.002801490958983777,0.00042600312574115994,0.0,0.0,1.233538836422962e-13,3.1996559844283026e-13,3.3143448768750003,0.0028576280837878587,0.00033829603572420596,0.0,0.0,9.426435190896124e-14,3.0609164332347303e-13
78,3.07078554859375,0.0027993386565940454,0.0004492853059156544,0.0,0.0,1.1030350549577527e-12,3.6168495137735855e-12,3.0760672659375,0.002820377696771175,0.00047127830173091125,0.0,0.0,1.167535707679045e-12,2.9675474102837076e-12,3.0765751215625,0.002861834927171003,0.00038958452238622765,0.0,0.0,8.904842093367651e-13,2.8012847179331745e-12
79,2.84546094203125,0.0027771498722286196,0.0005278416298976845,0.0,0.0,9.538396903517533e-12,3.0643634606859183e-11,2.85085325203125,0.0028262258040194863,0.0005105769332581038,0.0,0.0,1.0167407703819122e-11,2.5309530080372485e-11,2.85126092953125,0.0028623585604946127,0.00044746692247528744,0.0,0.0,7.74184106554738e-12,2.3575318480908296e-11
