pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
6.96320794e-01,1.45148004e+02,2.08294204e+11,8.33176817e+11,5.20735510e+12,2.08294204e+13,3.82336440e+04,1.52934576e+05,9.55841099e+05,3.82336440e+06,1.68134138e+00,1.36837213e+08,nan
7.12595063e-01,1.46109269e+02,1.58294822e+11,6.33179288e+11,3.95737055e+12,1.58294822e+13,3.23608946e+04,1.29443578e+05,8.09022364e+05,3.23608946e+06,1.53359414e+00,4.25058594e+08,nan
7.29249692e-01,1.47076899e+02,1.20522795e+11,4.82091180e+11,3.01306988e+12,1.20522795e+13,2.74231706e+04,1.09692683e+05,6.85579266e+05,2.74231706e+06,1.39535586e+00,2.01506875e+09,nan
7.46293569e-01,1.48050938e+02,9.19346644e+10,3.67738657e+11,2.29836661e+12,9.19346644e+12,2.32666415e+04,9.30665662e+04,5.81666039e+05,2.32666415e+06,1.26625158e+00,1.15116629e+10,nan
7.63735792e-01,1.49031428e+02,7.02573388e+10,2.81029355e+11,1.75643347e+12,7.02573388e+12,1.97635612e+04,7.90542448e+04,4.94089030e+05,1.97635612e+06,1.14591097e+00,5.47540110e+10,nan
7.81585671e-01,1.50018411e+02,5.37899474e+10,2.15159789e+11,1.34474868e+12,5.37899474e+12,1.68077193e+04,6.72308773e+04,4.20192983e+05,1.68077193e+06,1.03396868e+00,1.73528138e+11,nan
7.99852734e-01,1.51011931e+02,4.12574443e+10,1.65029777e+11,1.03143611e+12,4.12574443e+12,1.43107067e+04,5.72428269e+04,3.57767668e+05,1.43107067e+06,9.30064439e-01,5.27593203e+11,nan
8.18546731e-01,1.52012030e+02,3.17022505e+10,1.26809002e+11,7.92556263e+11,3.17022505e+12,1.21988458e+04,4.87953831e+04,3.04971144e+05,1.21988458e+06,8.33842878e-01,1.70291752e+12,nan
8.37677640e-01,1.53018752e+02,2.44039013e+10,9.76156053e+10,6.10097533e+11,2.44039013e+12,1.04106642e+04,4.16426568e+04,2.60266605e+05,1.04106642e+06,7.44954123e-01,5.91711613e+12,nan
8.57255673e-01,1.54032142e+02,1.88193527e+10,7.52774107e+10,4.70483817e+11,1.88193527e+12,8.89481403e+03,3.55792561e+04,2.22370351e+05,8.89481403e+05,6.63054129e-01,2.26512378e+13,nan
