level,-kappa-0.01_pressure_bar,-kappa-0.01_n2_mean_s-2,-kappa-0.01_n2_std_s-2,-kappa-0.1_pressure_bar,-kappa-0.1_n2_mean_s-2,-kappa-0.1_n2_std_s-2,-kappa-1.0_pressure_bar,-kappa-1.0_n2_mean_s-2,-kappa-1.0_n2_std_s-2
64,7.277107557959375,-7.748506058291171e-07,5.457157632538247e-06,7.279310514190623,-1.9427631916328376e-06,4.327490234127796e-06,7.287993891906251,-2.8384983027233966e-06,4.293913495826255e-06
65,6.848314649303124,-6.629468211726693e-07,3.694269449041888e-06,6.8504630220875,-7.877162662928862e-07,3.611372217976781e-06,6.858940253687499,-2.507300500086481e-06,4.7752603996298705e-06
66,6.438047367425,4.177637888045541e-06,2.646784434191403e-06,6.4400665438,3.4143958598174755e-06,3.3285677226005716e-06,6.448227444721875,2.138822755102378e-06,4.269769147075539e-06
67,6.0460458019687495,8.367646132023146e-06,3.0835913155026517e-06,6.04782827069375,8.942552753287757e-06,3.22977150513276e-06,6.0556487432218775,7.519318098595875e-06,2.365614578333107e-06
68,5.67200353108125,8.08322167056152e-06,2.9489463293645135e-06,5.673545684806251,1.0643662852682381e-05,3.4053505934174406e-06,5.681002348093749,8.84455027266994e-06,2.593074507838935e-06
69,5.315333664840625,4.794928165973741e-06,2.506154754187473e-06,5.316774360753126,7.3575087243224106e-06,2.645445560637399e-06,5.32380415670625,6.416102925397624e-06,2.360071749949609e-06
70,4.9753043516234365,2.0107058852503386e-06,1.9261989494766426e-06,4.976783503178125,3.854120560344459e-06,1.9961618071840388e-06,4.983353751443749,3.7678161190085126e-06,1.2853942214892586e-06
71,4.651254683789062,7.124386998529271e-07,1.1768651291686978e-06,4.65285701559375,2.0554905952533212e-06,1.5402262784963127e-06,4.6589725627156255,2.501237930856414e-06,6.781345643579606e-07
72,4.342638660451562,2.378453460740683e-07,6.983327838798193e-07,4.344408203831251,1.3324134706850134e-06,1.3322794045889617e-06,4.350100964121876,2.2176709876198022e-06,6.402143607231002e-07
73,4.048974019882813,4.3472993510698494e-08,5.125469804039217e-07,4.050931227270312,9.082213290932624e-07,1.1003287760985464e-06,4.056254741182812,2.1239434578659706e-06,6.910801466226656e-07
